"seller_id","order_count","bad_reviews","bad_review_pct","avg_review_score"
"92eb0f42c21942b6552362b9b114707d",332,81,24.4,4.02
"0176f73cc1195f367f7b32db1e5b3aa8",37,9,24.3,4.11
"06a2c3af7b3aee5d69171b0e14f0ee87",385,93,24.2,4.01
"6a0cbc8af2e8abd1bdfb777943d174c6",33,8,24.2,4.03
"8b2492b7ff4468839593fafeed55bad9",29,7,24.1,4.17
b4a476fbd28de64b1e347abf9089366a,29,7,24.1,4.14
"001cca7ae9ae17fb1caed9dfb1094831",192,46,24.0,4.06
"004c9cd9d87a3c30c522c48c4fc07416",154,37,24.0,4.13
"1f9ab4708f3056ede07124aad39a2554",75,18,24.0,4.09
"5debea795b07621e1f90532e18f96145",25,6,24.0,4.36
cfb1a033743668a192316f3c6d1d2671,142,34,23.9,4.04
"0dd184061fb0eaa7ca37932c68ab91c5",160,38,23.8,4.03
"2156f2671501a81034d7d07f217609d0",21,5,23.8,4.00
"55d3daac7c404d59e51c2aa2f4dc5a23",21,5,23.8,4.10
"845e8036c3f7bf62099352f5ed910240",21,5,23.8,3.95
"9674754b5a0cb32b638cec001178f799",84,20,23.8,4.11
c013e57c075a06e5b5c48ee03c525719,42,10,23.8,4.24
e8b3a3a38279a82f0e5d006d5e5b7d2c,80,19,23.8,4.01
"5c243662ce92d84573bfaff24c3e3700",97,23,23.7,4.14
d05ae8f7a5bd1d2a690a44cd079e4e27,76,18,23.7,3.89
e62b2d6ac10570a035a30bafcf01d263,59,14,23.7,3.97
"2e90cb1677d35cfe24eef47d441b7c87",127,30,23.6,4.12
"53e4c6e0f4312d4d2107a8c9cddf45cd",461,109,23.6,4.13
"7a241947449cc45dbfda4f9d0798d9d0",55,13,23.6,4.15
"7d13fca15225358621be4086e1eb0964",555,131,23.6,4.04
"3ab971ce71839580d2ae5b4e40fe8044",34,8,23.5,3.91
e96498ed8daaa3e9c23f7a62da76591c,34,8,23.5,3.94
e9bc59e7b60fc3063eb2290deda4cced,209,49,23.4,4.08
"40d54b51e962dbe09cabbcfd33298dee",30,7,23.3,4.00
"79ebd9a61bac3eaf882805ed4ecfa12a",133,31,23.3,4.05
ebd2d60905fb58271facef5596b620d3,82,19,23.2,4.23
"73a63f72308aa20a46f4b1632018f196",26,6,23.1,4.19
